	gene
4884	F56D6.6
4885	F17E9.18
4293	F13A2.3
3709	sru-24
2657	R09E10.2
239	pcf-11
436	sqt-3
738	dpy-14
1094	sym-1
2658	K01B6.4
2659	him-8
2660	gpdh-1
3168	C39B10.7
3169	Y73C8B.3
3718	nhr-23
4299	sre-26
1811	gcy-36
3172	M01B2.12
2663	otpl-6
3174	sre-27
3727	Y53H1B.4
2205	nhr-81
2664	M03A1.3
3177	nhr-77
2665	F21G4.1
3730	Y43F8B.17
4894	Y38H6C.18
1459	dsl-3
1812	nhr-221
3181	str-139
3732	T27A8.7
3733	Y80D4G.2
2667	F55C9.5
3182	arl-5
3183	F49C5.12
3737	srx-80
3184	gnrr-5
3738	dmsr-13
4317	ZK250.2
3739	K11H12.7
4318	str-101
4903	C07A4.2
3185	F32D1.3
3740	Y43F8B.22
3741	pals-1
4322	nhr-5
4906	fbxa-116
4907	tag-138
3186	her-1
4324	str-225
4325	F39B3.7
3745	srab-25
1813	C34E7.4
2208	cyp-34A1
3746	sru-19
3747	T27D12.6
2671	Y105C5B.15
3190	osgn-1
3191	mdt-21
2672	F59D6.1
3194	C54F6.19
3195	algn-14
3756	srt-54
3757	cima-1
1095	tag-273
1460	C35A5.11
2210	F40H3.3
2211	C29A12.6
2676	C56E6.7
3758	spig-6
3759	C47F8.6
3199	C01G5.7
2678	rga-2
3200	F49C12.2
3201	F46F5.7
4349	nhr-168
4914	T11G6.3
4915	nhr-30
4351	zig-3
2679	T13C5.9
3202	C03A3.3
3768	F44D12.19
5502	str-243
5503	clec-102
4355	M162.5
4925	gtl-2
1461	ilkp-1
1816	W07G4.1
1817	far-5
3770	F41C3.7
3771	npr-31
4359	C54C8.3
2681	hgo-1
3206	spe-27
3775	D1046.16
3207	sru-20
3776	H40L08.2
4363	cyp-13B2
3777	C03D6.1
3208	K09D9.1
3209	Y57G7A.11
3781	fbxa-42
4372	srx-97
4373	D2023.1
3785	cyp-29A4
739	cut-2
1096	col-74
1462	cnc-6
2218	C38C6.3
2219	T03F7.7
1463	F18E9.3
1820	col-34
2220	F32A7.8
2688	srbc-1
2689	srb-15
3217	oac-17
2221	T15D6.1
2691	F09G8.5
3218	glb-17
