	gene
4847	T05H4.4
4394	dhhc-7
4395	T05C7.8
1817	rpl-41.2
2184	his-9
4009	T27A8.3
3670	stdh-2
4854	srh-63
4855	clec-261
5408	srx-88
5409	sru-17
3673	srg-60
4018	fbxa-118
4413	reps-1
3675	Y34F4.3
3676	E04D5.5
4418	math-14
4419	Y59A8A.8
4871	Y71F9AM.11
4420	col-52
4874	fbxa-113
5424	Y55F3BR.10
5425	T08D2.6
5429	sra-35
5430	F49C5.9
4882	B0546.5
4883	B0546.3
4885	W02D7.11
4427	Y49E10.25
4430	clec-141
4893	sre-44
3682	C33G3.6
3683	nlp-81
4036	fog-1
4436	irld-47
6616	clec-104
3313	W09B7.2
5460	T16G12.10
7580	C54G10.1
6040	col-84
5464	Y60A9A.1
7587	W09B7.1
6045	srt-44
6046	wrt-7
6048	trxr-2
6049	Y16E11A.4
6050	lin-38
6052	H25P06.5
6648	srh-40
5470	srt-52
6055	str-102
7187	F36D4.6
4444	sri-40
4915	C07G3.8
5473	C07G1.7
5475	F59A7.12
6065	cya-2
7193	clh-6
6663	Y43F4A.3
4918	Y71F9B.6
5480	nhr-110
6665	F07B7.1
6667	seb-2
6668	F22B3.5
7206	F42E8.1
6073	grl-3
6672	T01G6.10
7631	W02D7.12
7216	F42A6.1
7633	H14A12.5
4921	hsp-60
3688	nola-3
5486	usp-3
4924	mltn-11
6081	K07D4.2
4450	C56G2.3
4926	K09H11.11
5494	F14D2.5
5495	C05A2.4
4928	gpa-16
5499	K02F3.2
5501	Y11D7A.8
6689	F11A5.18
5504	Y52B11A.11
6100	F33H12.1
6101	F29C12.6
7226	C31E10.11
7227	H12I19.115
5508	srh-284
5509	tyr-5
4935	F20A1.2
6110	snf-6
6111	Y19D10A.11
4048	luc-7L3
4456	F20B6.6
4457	H14N18.4
4946	mrpl-45
6119	Y20F4.8
4462	H21P03.10
4464	ZC404.16
6122	Y38H6C.4
6129	K08D9.2
5530	Y53C12A.11
5531	Y39G10AL.1
4469	srbc-79
4963	srt-34
5541	C18G1.7
4058	cox-16
4474	cpb-1
4972	C16C8.19
4973	fog-3
5547	ogr-2
6153	sra-22
4475	srxa-5
3319	F47B10.4
1479	fos-1
1818	amph-1
2186	ttr-14
2558	cnp-2
2952	C49F8.1
2953	eol-1
3323	srh-181
2559	D1086.10
2955	srp-7
2187	spex-3
2560	ule-4
2957	ule-2
3327	ttr-3
3703	ttr-2
2561	C35B1.4
1819	mel-32
2188	ZK675.4
2960	C25F9.9
3705	F15H10.5
4071	H02F09.3
4483	F09C12.2
2961	H12D21.6
2563	Y65B4BL.6
2963	F13B6.3
3334	D2092.8
3711	aqp-6
4074	K06B9.6
4488	clec-2
4489	amt-1
3713	F07G6.8
4076	cutl-18
4077	ZK896.1
2189	ogdh-1
2564	rpl-11.2
3336	spig-9
4078	T07G12.2
4079	C09G9.5
4497	Y49F6B.12
3715	ZK105.6
4080	mltn-13
4081	R11D1.3
4501	clec-185
4994	ZK218.4
4995	nhr-290
4082	grl-6
4502	ZK218.7
4503	srsx-12
4998	nhr-185
4999	ZK1010.4
5000	F11A6.16
6163	smoc-1
5570	C34D10.1
5003	T19C9.8
6168	F56H6.7
6171	str-82
6745	E03H4.11
3717	sqt-1
4084	ZK1025.3
4506	K07H8.8
6172	srg-45
6748	ins-13
6749	W08G11.5
4507	T03G6.1
5006	T06G6.6
5578	R05A10.6
5579	T13F2.4
6180	T27C5.8
6181	nhr-135
5007	sams-4
4085	col-73
4508	col-41
5008	qua-1
5009	numr-2
4509	F57H12.6
2965	rps-8
5589	F25E5.5
5591	srz-62
4511	C40H1.8
6759	Y73C8B.9
7263	R53.8
6760	srw-55
7270	igdb-1
7962	ZK666.12
7963	Y48G9A.6
7275	M04G7.5
7965	srw-73
6206	F09G8.10
6207	clec-70
5602	F46C3.2
6776	col-164
6777	nhr-265
7281	Y45F3A.5
7283	srx-59
7970	R02E4.1
7971	srj-37
7975	srx-122
7680	C04E12.2
7681	dlc-4
5023	C04G2.10
5610	C36C5.15
5026	poml-4
5614	F31F4.11
6794	F17B5.4
6795	sdz-19
6797	csp-3
3339	nap-1
5617	C25D7.9
5031	chkr-1
6235	fbxa-154
6239	R119.2
